carina_cruise_id,dataset_id,dataproduct_id,region_id,first_station,last_station,calculated_carbon_parameter,salinity_adj,ctd_salinity_adj,ctd_salinity_slope,ctd_salinity_intercept,ctd_salinity_actionid,tco2_adj,alkalinity_adj,ph_adj,pco2_adj,nitrate_adj,phosphate_adj,silicate_adj,oxygen_adj,ctd_oxygen_adj,ctd_oxygen_slope,ctd_oxygen_intercept,ctd_oxygen_actionid,cfc12_adj,cfc11_adj,cfc113_adj,ccl4_adj,c13_adj,%,cruise_expocode,adjustmentID,cruiseID,last_updated,version
404001,32,78,4,1,-999,0,0.0,0.0,0.9998,0.0321,6,-999,-999,-999,-888,1.0,1.0,1.0,1.0,-999,-999,-999,3,-888,-888,-999,-999,-999,%,"06AQ19840719",301000095,305000095,2019-03-21_21h05m27s,19
3600,1,78,1,1,-999,3,0.0,-999,-999,-999,3,12.0,8.0,-999,-888,1.03,1.015,1.0,1.0,-999,-999,-999,3,1.0,1.0,-999,-999,-999,%,"06AQ19860627",201000002,105000144,2019-03-21_21h05m14s,17
404002,32,78,4,1,-999,0,0.0,0.0,1.0074,-0.2461,6,-35.0,-999,-999,-888,1.0,1.0,1.0,1.0,-999,-999,-999,3,-888,-888,-999,-888,-999,%,"06AQ19870704",301000096,305000096,2019-03-21_21h05m39s,18
3100,1,78,1,1,-999,0,0.0,-999,-999,-999,3,-999,-999,-999,-888,1.0,0.98,1.02,1.005,-999,-999,-999,3,-999,-999,-999,-999,-999,%,"06AQ19890906",201000003,105000114,2019-03-21_21h05m39s,14
0,32,78,1,1,-999,0,0.0,0.0,1.0,0.0,2,-999,-999,-999,-888,1.015,1.0,1.0,0.99,-999,-999,-999,3,-999,-999,-999,-999,-999,%,"06AQ19901117",301000130,305000130,2019-03-21_21h05m33s,7
1700,2,78,1,1,570,0,0.0,0.0,1.0,0.0,5,0.0,-999,-999,-888,0.99,1.0,0.99,-777,-999,-999,-999,3,1.0,1.0,-999,-999,-999,%,"06AQ19920521",201000004,105000108,2019-03-21_21h05m13s,22
1700,2,78,1,571,644,0,0.0,0.0,1.0,0.0,5,0.0,-999,-999,-888,0.99,1.0,0.99,1.0,-999,-999,-999,3,1.0,1.0,-999,-999,-999,%,"06AQ19920521",1000000011,105000108,2019-03-21_21h05m11s,6
1,2,78,1,1,-999,3,0.0,0.0,1.0,0.0,5,0.0,-9.0,-999,-999,-888,-888,1.0,0.98,-999,-999,-999,3,-999,-999,-999,-999,-999,%,"06AQ19920929",101000921,105000224,2019-03-21_21h04m34s,23
3200,1,78,1,1,-999,0,0.0,0.0,1.0,0.0,5,0.0,-999,-999,-888,0.975,0.985,0.97,1.01,-999,-999,-999,3,-999,-999,-999,-999,-999,%,"06AQ19921203",201000005,105000115,2019-03-21_21h05m15s,15
2,2,78,4,1,-999,0,0.0,0.0,1.0,0.0,5,6.0,-999,-999,-999,1.05,-777,1.0,1.07,-999,-999,-999,3,-888,-888,-888,-999,-999,%,"06AQ19930806",101000691,105000201,2019-03-21_21h05m12s,25
404003,32,78,4,1,-999,0,-888,-888,1.0,0.0,2,-999,11.0,-777,-888,1.05,1.0,1.0,1.0,-999,-999,-999,3,-888,-888,-888,-999,-999,%,"06AQ19950707",301000097,305000097,2019-03-21_21h05m45s,15
1800,1,78,1,1,-999,0,0.0,0.0,1.0,0.0,5,-3.0,-999,-999,-888,1.0,1.0,1.0,1.025,-999,-999,-999,3,1.0,1.0,1.0,1.0,-999,%,"06AQ19960317",201000006,105000109,2019-03-21_21h05m18s,31
3,2,78,4,1,-999,0,0.0,-999,-999,-999,3,0.0,0.0,0.02,-999,1.05,1.0,1.0,1.0,-999,-999,-999,3,-888,-888,-999,-888,-999,%,"06AQ19960712",101000693,105000067,2019-03-21_21h05m27s,22
4,2,78,1,1,-999,0,0.0,0.0,1.0,0.0,5,-3.0,-999,-999,-999,1.0,1.0,1.0,1.005,-999,-999,-999,3,1.0,1.0,1.0,-999,-999,%,"06AQ19980328",101000977,105000254,2019-03-21_21h05m12s,12
402001,32,78,1,1,-999,0,0.0,0.0,1.0,0.0,2,0.0,-999,-999,-888,0.98,-999,0.975,1.01,-999,-999,-999,3,1.0,-999,-999,-999,-999,%,"06AQ20021124",301000075,305000075,2019-03-21_21h04m37s,10
402002,32,78,1,1,-999,0,0.0,0.0,1.0,0.0,2,0.0,-999,-999,-888,1.0,1.0,1.0,1.015,1.015,1.0,0.0,2,-999,-999,-999,-999,-999,%,"06AQ20050122",301000076,305000076,2019-03-21_21h05m40s,13
402003,32,78,1,1,-999,3,0.0,0.0,1.0,0.0,2,0.0,6.0,-999,-888,1.02,1.0,1.1,-888,-888,1.0,0.0,2,1.0,1.0,-999,-999,-999,%,"06AQ20060825",301000077,305000077,2019-03-21_21h06m01s,15
404004,32,78,4,1,-999,3,0.0,0.0,1.0,0.0,2,0.0,0.0,-999,-888,1.0,1.0,1.0,1.0,1.0,1.0091,-16.4842,6,-999,-999,-999,-999,-999,%,"06AQ20070728",301000098,305000098,2019-03-21_21h05m56s,10
402004,32,78,1,1,-999,3,0.007,0.007,1.0,0.0,2,0.0,-9.0,-999,-888,-777,-999,-999,1.0,-999,-999,-999,3,-999,-999,-999,-999,-999,%,"06AQ20071128",301000078,305000078,2019-03-21_21h05m15s,13
402005,32,78,1,1,-999,3,0.0,0.0,1.0,0.0,2,0.0,-4.0,-999,-888,1.0,1.0,1.0,1.015,1.015,1.0,0.0,2,1.0,-777,-999,-999,-999,%,"06AQ20080210",301000079,305000079,2019-03-21_21h05m56s,12
402006,32,78,1,1,-999,3,0.0,0.0,1.0,0.0,2,0.0,0.0,-999,-888,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2,-999,-999,-999,-999,-999,%,"06AQ20101128",301000080,305000080,2019-03-21_21h05m03s,11
-999,64,76,4,1,-999,0,-888,-888,-999,-999,2,-888,-888,-888,-888,-888,-888,-888,-888,-888,-999,-999,2,-999,-999,-999,-999,-999,%,"06AQ20110805",1400000064,1000000060,2019-03-21_21h04m58s,9
-999,64,76,1,1,-999,0,0.0,0.0,-999,-999,2,0.0,0.0,-999,-888,1.0,1.0,1.0,1.01,-999,-999,-999,3,1.0,-999,-999,-999,-999,%,"06AQ20120107",1400000054,1000000050,2019-03-21_21h04m38s,13
-999,64,76,4,1,-999,0,-888,-888,-999,-999,2,-888,-888,-999,-888,-777,-777,-777,-888,-999,-999,-999,3,1.0,-999,-999,-999,-999,%,"06AQ20120614",1400000055,1000000051,2019-03-21_21h05m25s,8
-999,64,76,1,1,-999,0,0.0,0.0,-999,-999,5,0.0,0.0,0.01,-888,1.0,1.0,1.0,1.0,1.0,0.9987,-5.24,6,-999,-999,-999,-999,-999,%,"06AQ20141202",1400000056,1000000052,2019-03-21_21h04m55s,4
-999,64,76,4,1,-999,0,0.0,0.0,-999,-999,2,0.0,0.0,-0.013,-888,1.0,1.0,1.0,1.0,1.0,-999,-999,2,1.0,1.0,-999,-999,-999,%,"06AQ20150817",1400000276,1000000199,2019-03-21_21h06m08s,3
5,2,78,1,1,-999,0,-0.003,-0.003,0.9993,0.0283,6,-999,-999,-999,-0.003,1.01,1.0,-777,1.0,-999,-999,-999,3,1.0,1.0,-999,-999,-999,%,"06BE20001128",101000694,105000062,2019-03-21_21h04m30s,13
401001,32,78,1,1,-999,0,0.0,0.0,1.0,0.0,5,-999,-999,-999,-888,-999,-999,-999,1.01,1.01,1.0,0.0,2,1.0,1.0,-999,-999,-999,%,"06BE20030525",301000001,305000001,2019-03-21_21h05m03s,11
6,1,79,1,1,-999,0,0.01,-999,-999,-999,3,0.0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,-999,-999,-999,-999,-999,%,"06GA19960613",101000695,105000024,2019-03-21_21h04m37s,8
7,2,78,1,1,48,3,0.0,-999,-999,-999,3,0.0,-4.0,-999,-999,1.02,1.0,1.06,0.99,-999,-999,-999,3,-999,-999,-999,-999,-999,%,"06GA20000506",101000696,105000025,2019-03-21_21h05m14s,27
7,2,78,1,49,74,3,0.0,-999,-999,-999,3,0.0,-4.0,-999,-999,1.02,1.07,1.06,0.99,-999,-999,-999,3,-999,-999,-999,-999,-999,%,"06GA20000506",1000000014,105000025,2019-03-21_21h04m24s,5
0,32,78,1,1,-999,1,-0.004,-0.004,1.0,0.0,5,-999,0.0,0.0,-888,0.96,1.1,0.98,1.0,1.0,1.0,0.0,5,-999,-999,-999,-999,-999,%,"06M220060523",301000116,305000116,2019-03-21_21h05m57s,12
-999,64,76,1,1,-999,0,0.0,0.0,-999,-999,5,-999,-999,-999,-888,-999,-999,-999,-777,-777,-888,-888,7,1.0,-777,-777,-999,-999,%,"06M220070414",1400000264,1000000194,2019-03-21_21h04m33s,3
-999,64,76,1,1,-999,0,0.0,0.0,-999,-999,5,-999,-999,-999,-888,-999,-999,-999,-999,-999,-999,-999,1,1.0,-999,-999,-999,-999,%,"06M220080723",1400000265,1000000195,2019-03-21_21h04m33s,2
