Year,GLODAP Expocode,GO-SHIP Expocode
1992,29HE19920714,29HE19920714
1998,33RO19980123,31RBOACES24N_2
2004,74DI20040404,74DI20040404
2010,74DI20100106,74DI20100106
2011,29AH20110128,29AH20110128
2007,49NZ20070724,49NZ20070724
1999,49K619990523,49NZ199905_1
2009,29AH20090725,29AH20090725
1998,74DI19980423,74DI233_1
2013,33RO20130803,33RO20130803
1993,33MW19930704,33MW19930704
2007,33RR20070204,33RR20070204
2016,33RR20160208,33RR20160208
2016,33RR20160321,33RR20160321
1995,316N19941201,316N19941201
2017,320620170820,320620170820
