Year,GLODAP Expocode,GO-SHIP Expocode
1993,18HU19930617,18HU93019_1
1994,18HU19940524,18HU94008_1
1995,18HU19950607,
1996,18HU19960512,18HU96006_1
1997,18HU19970509,18HU97009_1
1998,18HU19980622,18HU98023_1
1999,18HU19990627,18HU19990627
2000,18HU20000520,18HU2000009_1	
2001,18HU20010530,18HU2001022_1	
2002,18HU20020623,18HU20020623	
2003,18HU20030713,18HU200307_1
2004,18HU20040515,18HU20040515
2005,18HU20050526,18HU20050526
2006,18HU20060524,18HU20060524
2007,35TH20050604,
2007,18HU20070510,18HU20070510
2008,74DI20080820,74DI20080820
2008,18HU20080520,18HU20080520
2009,18HU20090517,18HU20090517
2010,18HU20100513,18HU20100513
2011,18HU20110506,18HU20110506
2012,18MF20120601,18MF20120601
2013,18HU20130507,18HU20130507
2014,18HU20140502,
2015,18HU20150504,18HU20150504
2016,18HU20160430,18HU20160430 
